ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
806	ATXN3	YES	
807	ATXN7	YES	
808	ATXN7L1	YES	
809	ATXN7L2		
810	AUP1	YES	
811	AURKA	YES	
812	AURKAIP1	YES	
813	AURKB	YES	
814	AURKC	YES	
815	AUTS2	YES	
816	AVEN	YES	
817	AVIL	YES	
818	AVL9		
819	AVPI1	YES	
820	AXDND1		
821	AXIN1	YES	
822	AXIN2		
823	AXL	YES	
824	AZGP1	YES	
825	AZI1	YES	
826	B2M	YES	
827	B3GALNT2		
828	B3GALT1	YES	
829	B3GALT5	YES	
830	B3GALT6		
831	B3GALTL		
832	B3GAT2		
833	B3GAT3	YES	
834	B3GNT5		
835	B3GNT6		
836	B3GNT7		
837	B3GNT9		
838	B3GNTL1	YES	
839	B4GALNT1	YES	
840	B4GALNT4		
841	B4GALT1	YES	
842	B4GALT2	YES	
843	B4GALT3	YES	
844	B4GALT4	YES	
845	B4GALT5	YES	
846	B4GALT7	YES	
847	B9D1	YES	
848	B9D2	YES	
849	BAALC	YES	
850	BABAM1		
851	BACE1	YES	
852	BACE2	YES	Mesenchymal
853	BACH1	YES	
854	BACH2	YES	
855	BAD	YES	
856	BAG2	YES	
857	BAG3	YES	
858	BAG5	YES	
859	BAG6		
860	BAHD1	YES	
861	BAI1	YES	
862	BAI2	YES	
863	BAI3	YES	
864	BAIAP2L2		
865	BAIAP3	YES	
866	BAK1	YES	
867	BAMBI	YES	Proneural
868	BANF1	YES	
869	BANP	YES	
870	BAP1	YES	
871	BARD1	YES	
872	BASP1	YES	
873	BATF3		
874	BAX	YES	
875	BAZ1A	YES	
876	BAZ1B	YES	
877	BAZ2A	YES	
878	BAZ2B	YES	
879	BBC3	YES	
880	BBOX1	YES	
881	BBS1	YES	Classical
882	BBS10	YES	
883	BBS12		
884	BBS2		
885	BBS4	YES	
886	BBS5	YES	
887	BBS7	YES	
888	BBS9	YES	
889	BBX		
890	BCAM	YES	
891	BCAN	YES	
892	BCAP29	YES	
893	BCAP31	YES	
894	BCAR1		
895	BCAR3	YES	
896	BCAT1	YES	
897	BCAT2	YES	
898	BCCIP	YES	
899	BCDIN3D		
900	BCHE	YES	
901	BCKDHA	YES	
902	BCKDHB	YES	Classical
903	BCKDK	YES	
904	BCL10	YES	
905	BCL11A	YES	Proneural
906	BCL11B	YES	
907	BCL2L1	YES	
908	BCL2L11	YES	
909	BCL2L12		
910	BCL2L13	YES	
911	BCL2L14	YES	
912	BCL3	YES	Mesenchymal
913	BCL7A	YES	
914	BCL7B	YES	
915	BCL7C	YES	
916	BCL9	YES	
917	BCL9L		
918	BCLAF1	YES	
919	BCO2		
920	BCOR	YES	
921	BCORL1	YES	
922	BCR	YES	
923	BCS1L	YES	
924	BDH1	YES	
925	BDH2	YES	
926	BDNF	YES	
927	BDP1		
928	BEAN1		
929	BEND3		
930	BEND5		
931	BEND6		
932	BEND7		
933	BEST1	YES	
934	BEST2	YES	
935	BEST3		
936	BET1	YES	
937	BET1L	YES	
938	BFAR	YES	
939	BFSP1	YES	
940	BFSP2	YES	
941	BHLHE40		
942	BHLHE41		
943	BICC1		
944	BICD1	YES	
945	BICD2	YES	
946	BID	YES	
947	BIN1	YES	
948	BIN3	YES	
949	BIRC2	YES	
950	BIRC5	YES	
951	BIRC6		
952	BIRC8		
953	BIVM		
954	BLID		
955	BLM	YES	
956	BLMH	YES	
957	BLOC1S1	YES	
958	BLOC1S3		
959	BLVRA	YES	
960	BLVRB	YES	
961	BMI1	YES	
962	BMP1	YES	
963	BMP2	YES	
964	BMP2K	YES	
965	BMP4	YES	
966	BMP5	YES	
967	BMP6	YES	
968	BMP7	YES	
969	BMP8A	YES	
970	BMP8B	YES	
971	BMPR1A	YES	
972	BMPR1B	YES	
973	BMS1	YES	
974	BNC2	YES	Mesenchymal
975	BNIP1	YES	
976	BNIP2	YES	
977	BNIP3L	YES	
978	BNIPL		
979	BOC		
980	BOD1		
981	BOLA1	YES	
982	BOLA3		
983	BOP1	YES	
984	BORA		
985	BPGM	YES	
986	BPHL	YES	
987	BPI	YES	
988	BPIFB2		
989	BPNT1		
990	BPTF	YES	
991	BRAF	YES	
992	BRAP	YES	
993	BRAT1		
994	BRCA1	YES	
995	BRCA2	YES	
996	BRCC3	YES	
997	BRD1	YES	
998	BRD2	YES	
999	BRD3	YES	
1000	BRD4	YES	
1001	BRD7	YES	
1002	BRD8	YES	
1003	BRD9	YES	
1004	BRDT	YES	
1005	BRE	YES	
1006	BRF1	YES	
1007	BRF2	YES	
1008	BRI3		
1009	BRI3BP		
1010	BRIP1	YES	
1011	BRIX1		
1012	BRK1		
1013	BRMS1	YES	
1014	BROX		
1015	BRPF1	YES	
1016	BRPF3		
1017	BRSK1		
1018	BRWD3		
1019	BSG	YES	
1020	BSN	YES	
1021	BST2	YES	
1022	BTAF1	YES	
1023	BTBD1	YES	
1024	BTBD16		
1025	BTBD18		
1026	BTBD19		
1027	BTBD2	YES	
1028	BTBD6		
1029	BTBD7	YES	
1030	BTBD9		
1031	BTC	YES	
1032	BTD	YES	
1033	BTF3	YES	
1034	BTF3L4		
1035	BTG1	YES	
1036	BTG2	YES	
1037	BTG3	YES	
1038	BTN2A1	YES	
1039	BTN2A2	YES	
1040	BTN3A1	YES	
1041	BTN3A2	YES	
1042	BTN3A3	YES	
1043	BUB1	YES	
1044	BUB1B	YES	
1045	BUB3	YES	
1046	BUD13		
1047	BUD31	YES	
1048	BVES		
1049	BYSL	YES	
1050	BZW1	YES	
1051	BZW2	YES	
1052	C10orf107		
1053	C10orf108		
1054	C10orf11		
1055	C10orf12	YES	
1056	C10orf137	YES	
1057	C10orf2		
1058	C10orf55		
1059	C10orf67		
1060	C10orf68	YES	
1061	C10orf76	YES	
1062	C10orf82		
1063	C10orf88	YES	
1064	C10orf90		
1065	C10orf95	YES	
1066	C11orf1		
1067	C11orf10	YES	
1068	C11orf24	YES	
1069	C11orf30	YES	
1070	C11orf31		
1071	C11orf41	YES	
1072	C11orf48	YES	
1073	C11orf49	YES	
1074	C11orf54		
1075	C11orf57	YES	
1076	C11orf58	YES	
1077	C11orf63	YES	
1078	C11orf65		
1079	C11orf67	YES	
1080	C11orf68	YES	
1081	C11orf70		
1082	C11orf71	YES	
1083	C11orf73	YES	
1084	C11orf75	YES	
1085	C11orf80	YES	
1086	C11orf82		
1087	C11orf83		
1088	C11orf84		
1089	C11orf91		
1090	C11orf92		
1091	C11orf93		
1092	C11orf96		
1093	C12orf10	YES	
1094	C12orf23		
1095	C12orf26		
1096	C12orf32		
1097	C12orf35	YES	
1098	C12orf36		
1099	C12orf4	YES	
1100	C12orf40		
1101	C12orf43	YES	
1102	C12orf44	YES	
1103	C12orf45		
1104	C12orf49	YES	
1105	C12orf5	YES	
1106	C12orf52	YES	
1107	C12orf53		
1108	C12orf54		
1109	C12orf57		
1110	C12orf60		
1111	C12orf65		
1112	C12orf66		
1113	C12orf68		
1114	C12orf69		
1115	C12orf70		
1116	C12orf73		
1117	C12orf75		
1118	C13orf33		
1119	C14orf1	YES	
1120	C14orf101	YES	
1121	C14orf102		
1122	C14orf118	YES	
1123	C14orf119		
1124	C14orf126		
1125	C14orf142		
1126	C14orf149		
1127	C14orf159	YES	Classical
1128	C14orf166	YES	
1129	C14orf178		
1130	C14orf182		
1131	C14orf23		
1132	C14orf37		
1133	C14orf38		
1134	C14orf39		
1135	C14orf43	YES	
1136	C14orf45	YES	
1137	C14orf64		
1138	C14orf79	YES	
1139	C14orf80		
1140	C14orf93	YES	
1141	C15orf23		
1142	C15orf26		
1143	C15orf29	YES	
1144	C15orf38		
1145	C15orf39	YES	
1146	C15orf40		
1147	C15orf41		
1148	C15orf44	YES	
1149	C15orf48		
1150	C15orf52		
1151	C15orf57		
1152	C15orf60		
1153	C15orf61		
1154	C16orf45	YES	
1155	C16orf46		
1156	C16orf48		
1157	C16orf53	YES	
1158	C16orf55		
1159	C16orf57	YES	
1160	C16orf58	YES	
1161	C16orf62		
1162	C16orf7	YES	
1163	C16orf70		
1164	C16orf71		
1165	C16orf72		
1166	C16orf73		
1167	C16orf79		
1168	C16orf80	YES	
1169	C16orf87		
1170	C16orf88		
1171	C16orf91		
1172	C16orf93		
1173	C16orf95		
1174	C17orf100		
1175	C17orf101		
1176	C17orf104		
1177	C17orf109		
1178	C17orf28		
1179	C17orf51		
1180	C17orf53	YES	
1181	C17orf58		
1182	C17orf61		
1183	C17orf62	YES	
1184	C17orf65		
1185	C17orf66		
1186	C17orf67		
1187	C17orf69		
1188	C17orf70	YES	
1189	C17orf72		
1190	C17orf75	YES	
1191	C17orf78		
1192	C17orf80	YES	
1193	C17orf81	YES	
1194	C17orf85	YES	
1195	C17orf89		
1196	C17orf96		
1197	C18orf21		
1198	C18orf25	YES	
1199	C18orf34		
1200	C18orf54		
1201	C18orf56		
1202	C18orf8	YES	
1203	C19orf10	YES	
1204	C19orf12		
1205	C19orf18		
1206	C19orf24	YES	
1207	C19orf25		
1208	C19orf40	YES	
1209	C19orf42	YES	
1210	C19orf43		
1211	C19orf44		
1212	C19orf45		
1213	C19orf47		
1214	C19orf48		
1215	C19orf52		
1216	C19orf53	YES	
1217	C19orf54	YES	
1218	C19orf55		
1219	C19orf57	YES	
1220	C19orf6	YES	
1221	C19orf60	YES	
1222	C19orf66		
1223	C19orf70		
1224	C19orf73		
1225	C1GALT1	YES	
1226	C1GALT1C1	YES	
1227	C1orf105		
1228	C1orf106	YES	
1229	C1orf109	YES	
1230	C1orf112	YES	
